strike,delta
70,0.9999086281654037
72,0.9997299530957624
74,0.9992788539705681
76,0.9982462930642427
78,0.9960884827472991
80,0.9919454761084703
82,0.9845946650735773
84,0.9724783242422268
86,0.9538346056279294
88,0.9269344396771455
90,0.8903900594055209
92,0.8434685783297915
94,0.7863306824343297
96,0.7201273769910107
98,0.6469232572223272
100,0.5694601832076737
102,0.4908146578548694
104,0.4140234635981066
106,0.3417509773107237
108,0.27605195951989225
110,0.21825450140567387
112,0.16895906568165686
114,0.1281284600976677
116,0.09523329745414555
118,0.06941735936528946
120,0.04965422165668506
122,0.03487670766679864
124,0.02407094511405695
126,0.016334930675535125
128,0.010906720297284593
130,0.007169781887319503
